rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof,is_nel_ranked
69,stiveja01,Jack Stivetts,SP,BSN,2887.6666666666665,2837.666666666667,9.0,203,132,5,1223,388,333,3.7369271614914004,1.4059794528454346,123.19437827774429,40.32,7.798306830755102,0.549628109767774,0.37067054625374934,0.4673621226104125,0.8763409501983259,0.7517975874548933,0.1449223502108967,1889,1899,False,False
70,cicoted01,Eddie Cicotte,SP,CHA,3226.0,3208.0,13.0,209,149,24,1374,502,361,2.379727216367018,1.1543707377557346,131.64114726790598,57.74,7.759533491086527,0.48376143959392326,0.585646688767636,0.5481446057374172,0.23248112497179357,0.5155884410057984,0.5069970277214132,1905,1920,False,False
71,phillde01,Deacon Phillippe,SP,PIT,2607.0,2588.9999999999995,11.0,189,109,12,929,372,289,2.5857307249712314,1.1051016494054469,122.38096191334152,35.79,7.746077287262634,0.5983837224613854,0.5702521508140561,0.9566196177913455,-0.08983329267934932,0.8899322988037541,0.5664597908515392,1899,1911,False,False
72,gossari01,Rich Gossage,RP,CHA,1809.3333333333333,1771.3333333333333,21.0,124,107,310,1502,1002,37,3.0093957258658808,1.231945467943994,151.47933198130698,41.62,7.738263228322357,0.8737218549103151,0.7229680960480602,0.5507854847341804,1.5341923884351527,0.24445573107078428,2.092833883798174,1972,1994,True,False
73,messean01,Andy Messersmith,SP,CAL,2230.3333333333335,2208.0,11.0,130,99,15,1625,344,295,2.861007323270064,1.1433268569720518,124.24331833799573,37.55,7.59834495533106,0.6882558836350597,0.7758380873374467,0.9744084673680434,0.8975626527932524,0.5173823438325433,-0.32294754366472084,1968,1979,False,False
74,wardjo01,John Ward,SP,PRO,2469.6666666666665,2469.6666666666665,7.0,164,103,3,920,293,262,2.099068700229451,1.043460655958969,121.15603268624903,28.060000000000002,7.466102529522657,0.6046243106645423,0.5526808682737373,0.5883288250303166,0.3904040511349605,0.6000756657138071,1.2127594396877515,1878,1884,True,False
75,hallaro01,Roy Halladay,SP,TOR,2749.3333333333335,2735.3333333333335,15.0,203,105,1,2117,416,390,3.3848205625606207,1.1777400581959263,141.73253920395007,65.38,7.442932909252128,0.5442066470328146,0.654489354445947,0.8280407353053485,0.06620810108618085,0.9757437091338966,-0.348162374490248,1998,2013,True,False
76,warnelo01,Lon Warneke,SP,CHN,2782.3333333333335,2767.0,13.0,192,121,13,1140,445,343,3.182939978435366,1.2453576135138373,124.5918501626058,42.089999999999996,7.4196719084878,0.5362972105882038,0.742986490046146,0.8107972444118637,0.08161701616940512,0.6948662433425725,-0.07445374928694311,1930,1945,False,False
77,shockur01,Urban Shocker,SP,SLA,2681.6666666666665,2679.6666666666665,12.0,187,117,25,983,412,317,3.1715351149782474,1.2551895587321318,125.35498639022295,55.1,7.399168115753596,0.5522454122965739,0.5306185227765017,0.5930435410903787,0.1989869328191158,0.713283877511916,0.8887573426364737,1916,1928,False,False
78,hoffmtr01,Trevor Hoffman,RP,SDN,1089.3333333333333,1080.3333333333333,17.0,61,75,601,1133,1035,0,2.8668910648714814,1.0584455324357407,155.00842811764062,28.11,7.17718717363482,1.3286986436843236,1.149764436802967,1.5827429569341487,1.5552455538619698,-0.23782184718259375,3.6066680423869992,1993,2010,True,False
79,vaughhi01,Hippo Vaughn,SP,CHN,2730.0,2727.6666666666665,12.0,178,137,5,1416,390,331,2.4857142857142858,1.2007326007326007,130.47142305531122,47.04,7.081005417992695,0.5191987352799239,0.6044484361207695,0.3473565568266884,1.194923899919284,0.4392504177978332,-0.45587376500364185,1908,1921,False,False
80,degroja01,Jacob deGrom,SP,NYN,1539.6666666666667,1498.6666666666667,10.0,96,65,0,1851,248,248,2.5719852781987442,0.9859276899761853,161.2471980022385,47.37,7.030737761249459,0.938265715469234,1.1789432431100748,1.3714245047179516,1.1454546830925036,0.5069587798517665,-0.35689080426826253,2014,2025,False,False
81,colege01,Gerrit Cole,SP,PIT,1954.0,1954.0,12.0,153,80,0,2251,317,317,3.178096212896622,1.0885363357215967,134.1078041447297,45.08,7.013052296041866,0.7178149740063321,0.6518734136577179,0.8650808734461569,0.9282189828836207,0.926608224217457,-0.36155184722511674,2013,2024,False,False
82,bridgto01,Tommy Bridges,SP,DET,2826.3333333333335,2756.333333333333,13.0,194,138,10,1674,424,362,3.572826984314188,1.3682037976176435,128.06318424342078,51.62,6.92427567210863,0.5024265816017872,0.39727865941210727,0.20303879161886532,1.3843634071887756,0.5426405293423815,-0.3305356846218735,1930,1946,False,False
83,reynoal01,Allie Reynolds,SP,NYA,2492.3333333333335,2487.3333333333335,12.0,182,107,49,1423,434,309,3.304132673532165,1.3858499398154338,111.61682168229406,25.67,6.905078653885167,0.5552194039575314,0.4455707714965506,-0.024181960483939044,1.1016947160050206,0.801949670492841,0.6914332390480616,1942,1954,False,False
84,leevesa01,Sam Leever,SP,PIT,2660.6666666666665,2627.666666666666,12.0,194,100,13,847,388,299,2.4726885492357806,1.141067401653721,123.67499753699573,40.76,6.868478528531107,0.5227815701025835,0.605714644476275,0.6515211756646135,-0.40157271510003795,1.0479774085642026,0.791916763745283,1898,1910,False,False
85,fernasi01,Sid Fernandez,SP,NYN,1866.6666666666667,1855.666666666667,13.0,114,96,1,1743,307,300,3.3557142857142854,1.1442857142857141,113.2191456849933,31.41,6.809459434910823,0.7339097648547679,0.5042555460811985,1.0561385861222587,1.558136576763929,0.35082790329109065,-0.41803161172400477,1983,1997,False,False
86,corcola01,Larry Corcoran,SP,CHN,2392.3333333333335,2363.3333333333335,6.0,177,89,2,1103,277,268,2.355022990107287,1.1047791556360596,126.66711547944553,27.41,6.7417895308047875,0.5705322593064699,0.534775264512048,0.3590299868151724,0.7849894457119646,0.9055487454559163,0.08973308241088643,1880,1887,False,False
