rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof
46,verlaju01,Justin Verlander,SP,DET,2988.0,2970.6666666666665,14.0,226,129,0,3013,454,454,3.3283132530120483,1.1342034805890227,137.50754056327713,82.28,9.512288820837993,0.6404144179199726,0.5922423478560703,0.8521451618195764,0.7593836892762313,0.8161180696285133,-0.3578281127988823,2005,2020,False
47,eckerde01,Dennis Eckersley,RP,BOS,3285.6666666666665,3246.0000000000005,23.0,197,171,390,2401,1071,361,3.5006594298468094,1.1607994318758244,131.5077397329367,62.25,9.471030305596381,0.5835508506220812,0.31178941017128214,0.9678652716828876,0.8223160179197411,0.18685687110986182,0.5248482083453726,1975,1998,True
48,coneda01,David Cone,SP,NYN,2898.6666666666665,2857.9999999999995,15.0,194,126,1,2668,450,419,3.461936522539099,1.2560947562097518,126.12037490333378,61.58,9.042233769522305,0.6327665339063895,0.5724633724855831,0.5655176764798927,1.2699894864022339,0.6688698058864616,-0.39500586792718795,1986,2003,False
49,drysddo01,Don Drysdale,SP,LAN,3432.0,3432.0,14.0,209,166,6,2486,518,465,2.9475524475524475,1.1477272727272727,122.97478332530889,61.339999999999996,8.956747253463773,0.5219549681505695,0.6606317504554808,0.7759433607850448,0.7048619896752166,0.3527915356406683,-0.4871951472273884,1956,1969,True
50,jossad01,Addie Joss,SP,CLE,2327.0,2327.0000000000005,9.0,160,97,5,920,286,260,1.88740868070477,0.9677696605070907,147.8114514324676,47.68,8.944391643305849,0.768748744590103,1.0660119856210535,1.4820097797517324,-0.10672322500659207,0.788199420014925,-0.04551935754760221,1902,1910,True
51,marbefi01,Firpo Marberry,RP,WS1,2067.3333333333335,2034.0,12.0,148,88,101,822,551,187,3.6307642695904545,1.3229603353756851,118.62399273611572,31.71,8.921251669362606,0.8772125535263132,0.45829226332622663,0.581251874452634,0.5712673447530998,0.8807855165150981,3.241794173653033,1923,1936,False
52,bunniji01,Jim Bunning,SP,DET,3760.3333333333335,3760.3333333333335,17.0,224,184,16,2855,591,519,3.2693910114351565,1.178884850633809,120.06985399253111,60.38,8.681988327568053,0.4617669529776465,0.33309726395030237,0.6500266159111285,0.9252474657888915,0.3446346351083216,-0.37990437167153773,1955,1971,True
53,radboch01,Old Hoss Radbourn,SP,PRO,4527.333333333333,4527.333333333333,11.0,310,194,2,1830,527,502,2.677735237814755,1.1492416433514947,130.0377677853619,73.2,8.676931929865047,0.38331314665874167,0.5238346366655096,0.5045648302873991,-0.10213851089837604,0.5995648065535999,0.2672802078946967,1881,1891,True
54,woodjo02,Smoky Joe Wood,SP,BOS,1434.3333333333333,1393.3333333333333,7.0,117,57,11,989,225,158,2.033000232396003,1.0869161050429934,151.7036156528159,30.23,8.58029016701211,1.2316205981357096,1.0990757695278461,1.0996815621535898,2.1919938267695334,1.171193452926727,0.09293809276098268,1908,1920,False
55,santajo01,Johan Santana,SP,MIN,2025.6666666666667,2025.6666666666665,12.0,139,78,1,1988,360,284,3.2033898305084745,1.1319730129998353,,0.0,8.441350192939971,0.8334392160217184,0.8299549590842406,1.085046031085689,1.1190715189792901,0.8399282369989869,-0.34658399962215813,2000,2012,False
