saa_rank,name,SAA_final,bWAR,bwar_rank,bWAA,bwaa_rank,JAWS,jaws_rank,WAR7,d_war,d_waa,d_jaws,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,qualifying_seasons,is_hof,is_nel_ranked
878.0,Juan Beniquez,0.2457511125495888,9.94,1012.0,-7.260000000000001,976.0,11.66,1000.0,13.38,134.0,98.0,122.0,0.2768325356891113,-0.6667780613418833,-0.6663682107790453,-0.1445385651893621,0.6466314840517376,12.0,False,False
879.0,John Henry Russell,0.206966568936507,13.040000000000001,963.0,3.8400000000000003,680.0,12.594999999999999,982.0,12.149999999999999,84.0,-199.0,103.0,-0.3601662032181978,-0.2937176906112742,-0.6303568179776554,0.0756490885493837,0.7838383643605827,9.0,False,True
880.0,Larry Herndon,0.2053888657750909,15.15,926.0,-2.01,852.0,14.46,948.0,13.77,46.0,-28.0,68.0,0.1117392058082342,-0.1131922988570921,-0.6513102627207223,-0.3620573329895397,-0.2251353677205102,12.0,False,False
881.0,Royce Clayton,0.201265213830335,19.48,828.0,-6.300000000000001,959.0,18.46,835.0,17.44,-53.0,78.0,-46.0,-0.4430255929476547,-0.6114771208923478,-0.4198240304408417,0.4417758372744967,0.9889989823798994,16.0,False,False
882.0,Doc Cramer,0.1937088817740548,12.99,965.0,-18.4907,1060.0,13.215,971.0,13.44,83.0,178.0,89.0,0.3016739152138416,-0.9113959397480922,-1.0168664432045742,-0.5404757926582651,1.025265534565625,16.0,False,False
883.0,Charlie Hayes,0.1847994057735629,10.530000000000001,1003.0,-7.660000000000001,985.0,10.900000000000002,1011.0,11.270000000000001,120.0,102.0,128.0,-0.2521023735350891,-0.2474555173112396,-0.5765455606125753,-0.3487561314616395,0.4644430615723083,12.0,False,False
884.0,Dick Hoblitzell,0.1747858056410271,20.529999999999998,795.0,2.1399999999999997,742.0,19.325,811.0,18.12,-89.0,-142.0,-73.0,0.2792076400717279,0.1763065149108602,-0.0942230921045175,-0.213592231129957,-0.910980131620816,9.0,False,False
885.0,Andre Ethier,0.1745949334952437,21.529999999999998,764.0,4.91,645.0,20.189999999999998,787.0,18.85,-121.0,-240.0,-98.0,0.5897320707360528,0.294556427011629,0.3148311186100701,-0.801142284796804,-1.3102430346325902,10.0,False,False
886.0,Joe Kuhel,0.1740669173227747,30.310000000000002,545.0,0.45999999999999963,788.0,27.005,577.0,23.699999999999996,-341.0,-98.0,-309.0,-0.2626978946500172,-0.1506629885147916,0.3529809609823814,0.7625907017043292,-0.8462967084190949,16.0,False,False
887.0,Tito Francona,0.1735230569910201,13.919999999999998,952.0,-4.46,913.0,14.979999999999999,937.0,16.04,65.0,26.0,50.0,0.2107233477590817,-0.4019034525401466,0.1054558415494907,-0.1669315313912708,-0.6651678380204901,12.0,False,False
